policy,scenarios,TASK_SUCCESS,EVIDENCE_DISCOVERY,TOOL_PRECISION,IRRELEVANT,FALSE_POSITIVE_REVEALS,CREDITED_EVIDENCE,UNREVEALED_CLAIMED,FABRICATED_CLAIMED
positive_FULL,50,100.0,100.0,100.0,0.0,50,73,0,0
positive_ROUTED,50,100.0,100.0,100.0,0.0,50,73,0,0
negative_A,50,0.0,0.0,0.0,100.0,0,0,0,0
negative_B,50,0.0,0.0,0.0,70.8,0,0,0,0
negative_C,50,0.0,0.0,0.0,0.0,0,0,0,0
negative_D,50,0.0,0.0,0.0,0.0,0,0,73,0
negative_E,50,0.0,0.0,0.0,66.7,0,0,0,0
negative_F,50,0.0,0.0,0.0,100.0,0,0,0,0
negative_G,50,0.0,0.0,0.0,100.0,0,0,0,0
