path,type,size_bytes,category,component,purpose,runtime_impact,source_of_truth,last_commit,status,recommendation,sha256,snapshot_sha
aither-article/request-flow.svg,.svg,9434,asset,external-content,Architecture diagram or illustration for external-content,NO,NO,2b762facd8f7,Historical,REVIEW,220a7db5abef6abf18c542dc922e8e920cc7db2c6808b57200bd494f02260352,bc3475b84a3d266f992046db125c65ed60506bd0
aither-article/tensor-parallelism.svg,.svg,7804,asset,external-content,Architecture diagram or illustration for external-content,NO,NO,2b762facd8f7,Historical,REVIEW,73f016e74f5105ec1043359afc9bc87fed28fcb3b9b0bf607f3cb683f553c393,bc3475b84a3d266f992046db125c65ed60506bd0
aither-article/yadro-topology.svg,.svg,20393,asset,external-content,Architecture diagram or illustration for external-content,NO,NO,2b762facd8f7,Historical,REVIEW,408761516b0e2b5ed08a4a36786c96b47e9baba0654186b309f7f3096611eaea,bc3475b84a3d266f992046db125c65ed60506bd0
aither-send (2)/architecture.svg,.svg,12237,asset,external-content,Architecture diagram or illustration for external-content,NO,NO,2b762facd8f7,Historical,REVIEW,8a2a7c50aef14d0255926cb80d337a5313edd987a055d14b1d5ea22afa05e47c,bc3475b84a3d266f992046db125c65ed60506bd0
aither-send (2)/article.md,.md,36884,other,external-content,Purpose requires manual classification for external-content,NO,NO,2b762facd8f7,Historical,REVIEW,a8eb68771421a3be785f8f8b7551a6c05b93d2d04d4fae3be96a31537c113f2d,bc3475b84a3d266f992046db125c65ed60506bd0
aither-send (2)/deployment.svg,.svg,7796,asset,external-content,Architecture diagram or illustration for external-content,NO,NO,2b762facd8f7,Historical,REVIEW,e4a344dc955c738f4ae0b6222cd178daa2a2264c27e47b68405002f034371d86,bc3475b84a3d266f992046db125c65ed60506bd0
aither-send (2)/gpu-stack.svg,.svg,7276,asset,external-content,Architecture diagram or illustration for external-content,NO,NO,2b762facd8f7,Historical,REVIEW,398621fe2e9c04a4af95115508ea1ed28d6660e9a24c8f37f89f3e060f04378f,bc3475b84a3d266f992046db125c65ed60506bd0
aither-send (2)/request-flow.svg,.svg,9434,asset,external-content,Architecture diagram or illustration for external-content,NO,NO,2b762facd8f7,Historical,REVIEW,220a7db5abef6abf18c542dc922e8e920cc7db2c6808b57200bd494f02260352,bc3475b84a3d266f992046db125c65ed60506bd0
aither-send (2)/tensor-parallelism.svg,.svg,7804,asset,external-content,Architecture diagram or illustration for external-content,NO,NO,2b762facd8f7,Historical,REVIEW,73f016e74f5105ec1043359afc9bc87fed28fcb3b9b0bf607f3cb683f553c393,bc3475b84a3d266f992046db125c65ed60506bd0
aither-send.zip,.zip,25273,archive,external-content,Compressed archive,NO,NO,abad8bb081aa,Historical,REVIEW,01d80931222f85c6ae829236ad67f62f09efd8424f083a43093cfe392eea2073,bc3475b84a3d266f992046db125c65ed60506bd0
aither-send/architecture.svg,.svg,12237,asset,external-content,Architecture diagram or illustration for external-content,NO,NO,abad8bb081aa,Historical,REVIEW,8a2a7c50aef14d0255926cb80d337a5313edd987a055d14b1d5ea22afa05e47c,bc3475b84a3d266f992046db125c65ed60506bd0
aither-send/article.md,.md,36884,other,external-content,Purpose requires manual classification for external-content,NO,NO,abad8bb081aa,Historical,REVIEW,a8eb68771421a3be785f8f8b7551a6c05b93d2d04d4fae3be96a31537c113f2d,bc3475b84a3d266f992046db125c65ed60506bd0
aither-send/deployment.svg,.svg,7796,asset,external-content,Architecture diagram or illustration for external-content,NO,NO,abad8bb081aa,Historical,REVIEW,e4a344dc955c738f4ae0b6222cd178daa2a2264c27e47b68405002f034371d86,bc3475b84a3d266f992046db125c65ed60506bd0
aither-send/gpu-stack.svg,.svg,7276,asset,external-content,Architecture diagram or illustration for external-content,NO,NO,abad8bb081aa,Historical,REVIEW,398621fe2e9c04a4af95115508ea1ed28d6660e9a24c8f37f89f3e060f04378f,bc3475b84a3d266f992046db125c65ed60506bd0
aither-send/request-flow.svg,.svg,9434,asset,external-content,Architecture diagram or illustration for external-content,NO,NO,abad8bb081aa,Historical,REVIEW,220a7db5abef6abf18c542dc922e8e920cc7db2c6808b57200bd494f02260352,bc3475b84a3d266f992046db125c65ed60506bd0
aither-send/tensor-parallelism.svg,.svg,7804,asset,external-content,Architecture diagram or illustration for external-content,NO,NO,abad8bb081aa,Historical,REVIEW,73f016e74f5105ec1043359afc9bc87fed28fcb3b9b0bf607f3cb683f553c393,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/.gitkeep,(none),0,other,aither-v2-root,Purpose requires manual classification for aither-v2-root,NO,NO,9d2e0319fdff,Active,REVIEW,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/01-k8s-gpu-operator/.gitkeep,(none),0,other,cluster-setup,Purpose requires manual classification for cluster-setup,NO,NO,9d7818424835,Active,KEEP,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/01-k8s-gpu-operator/README.md,.md,10330,other,cluster-setup,Project overview and entry point documentation,NO,NO,97525676fd47,Active,KEEP,96d66b86761d256b87187b1676e3f379e33451553a30547e794cded36314f7d7,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/01-k8s-gpu-operator/architecture.dot,.dot,4372,diagram,cluster-setup,Graphviz diagram source for cluster-setup,NO,NO,957df13463c3,Active,KEEP,6c9896ce2275676478fb8115eef6bf406d50c70619aa8ed4f84e419fb6cb5f1a,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/02-containerd-nvidia-runtime/.gitkeep,(none),0,other,cluster-setup,Purpose requires manual classification for cluster-setup,NO,NO,9d7818424835,Active,KEEP,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/02-containerd-nvidia-runtime/README.md,.md,18972,other,cluster-setup,Project overview and entry point documentation,NO,NO,95b9d27750a3,Active,KEEP,7fb68dba63acd9b7b71c1c837974b509762938b788db6e9fcf1ee4d0d5097bce,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/02-containerd-nvidia-runtime/containerd-config-n7.toml,.toml,9673,configuration,cluster-setup,Container runtime configuration (containerd),YES,YES,a401c0ce5a78,Active,KEEP,cc55054e653487a604d728528a4ca55f1e8d90ff3fd9db97f56399cbdf32e958,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/02-containerd-nvidia-runtime/docs/diagrams/02-containerd-nvidia-runtime.dot,.dot,3140,diagram,cluster-setup,Graphviz diagram source for cluster-setup,NO,NO,95b9d27750a3,Active,KEEP,d34c86d0b47f7a9e07a3e221dda35d4d3455f29bf291126d1e6f23e1fce9a8b4,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/02-containerd-nvidia-runtime/docs/diagrams/02-deploy-sequence.dot,.dot,2603,diagram,cluster-setup,Graphviz diagram source for cluster-setup,NO,NO,a401c0ce5a78,Active,KEEP,001ea000385f3bdcb9d9c1ddacca89771925b5de960b19fddb64cf365e470508,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/02-containerd-nvidia-runtime/manifests/runtimeclass-nvidia.yaml,.yaml,228,configuration,cluster-setup,Kubernetes desired-state manifest for cluster-setup,YES,YES,a401c0ce5a78,Active,KEEP,18c19aece142fd9569ea7b61053246b9902addce53ea139677c4f8da56a3e6be,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/03-vllm-14b-deploy/README.md,.md,16783,other,vllm-legacy,Project overview and entry point documentation,NO,NO,febe7145eaf7,Historical,REVIEW,742dd878b70ace85653c4e1ce5621e29e32e32e0d6dd7bcd54172545d1815c1c,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/03-vllm-14b-deploy/docs/README.md,.md,863,documentation,vllm-legacy,Project overview and entry point documentation,NO,NO,507ecbfb1799,Historical,REVIEW,de6f79fad66177b6c258bffd21ae4db8f5e59cf5a925b9d016991b6fcc79e0c5,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/03-vllm-14b-deploy/docs/api-stability-100-results.md,.md,1728,documentation,vllm-legacy,Documentation: Vllm Legacy,NO,NO,2d79a4a77108,Historical,REVIEW,2d857fac1e7c0fbed32095154576dd404f72a786f04d3ed18efe1bd7a2aab8bd,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/03-vllm-14b-deploy/docs/api-stability-results.md,.md,2399,documentation,vllm-legacy,Documentation: Vllm Legacy,NO,NO,5e1510148398,Historical,REVIEW,83ede8fcabdc0b536e98cf0eec7f1947cd07ca443c0a92e50687a9afb9b3067f,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/03-vllm-14b-deploy/docs/current-status.md,.md,1486,documentation,vllm-legacy,Documentation: Vllm Legacy,NO,NO,4b45879a2c4d,Historical,REVIEW,0682b5814488e7cb016f67aa8066dd6cdbcaeb1fee710258ad34b42148af7d64,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/03-vllm-14b-deploy/docs/diagrams/03-deploy-sequence.dot,.dot,4086,diagram,vllm-legacy,Graphviz diagram source for vllm-legacy,NO,NO,cc2896704d1e,Historical,REVIEW,212ae33738d0d6ec3c1abe9fa4c51652c722800ee84621779da04b719bde8447,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/03-vllm-14b-deploy/docs/diagrams/03-deploy-sequence.png,.png,147735,asset,vllm-legacy,Architecture diagram or illustration for vllm-legacy,NO,NO,cc2896704d1e,Historical,REVIEW,ce5caf2cdd69ffd6f2f153950ab8736034d8cd845d289fab8696b2599f954495,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/03-vllm-14b-deploy/docs/diagrams/03-vllm-14b-deploy.dot,.dot,3381,diagram,vllm-legacy,Graphviz diagram source for vllm-legacy,NO,NO,febe7145eaf7,Historical,REVIEW,6481b28155f822e391b42f48ff06646010f448d212735fe041a7dcc580c204eb,bc3475b84a3d266f992046db125c65ed60506bd0
