path,type,size_bytes,category,component,purpose,runtime_impact,source_of_truth,last_commit,status,recommendation,sha256,snapshot_sha
aither-v2/docs/mvp-roadmap/04-gateway/evidence/gateway-pods-before.txt,.txt,452,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,448f2628d847,Evidence,KEEP,8ddeeeee3125727281309da394fb797697e56f9e35a8bd88dae01dc6e5847a13,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/04-gateway/evidence/gateway-rs-before.txt,.txt,255,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,448f2628d847,Evidence,KEEP,41c43e2f24f1ca6a91aaab925f6dde89bbc70ee7b26b6b27127438eb86b057e0,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/04-gateway/evidence/gateway-service-before.yaml,.yaml,626,evidence,mvp-roadmap,Kubernetes Service for mvp-roadmap,NO,NO,448f2628d847,Evidence,KEEP,a6dfcc814c803fd2a61d338f4c0fb015959f474000dbd96e4c92e71e69843103,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/04-gateway/evidence/no-token-401.txt,.txt,95,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,448f2628d847,Evidence,KEEP,9ff6b3ad7136791eeef8d3f38af08271c3244e890ab6f716e95366fbf8cacfe7,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/04-gateway/evidence/valid-token-200.txt,.txt,98,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,448f2628d847,Evidence,KEEP,afe4825cf2034ed6da9e7c81d6ca8a483df2ac6d6dd206930286a1cf305b4bb9,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/04-gateway/evidence/wrong-token-401.txt,.txt,98,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,448f2628d847,Evidence,KEEP,160fa7760e4a0d1e7a91787656e0a87f404e1a77fa4ad66addecbbf81d92e63e,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/04-gateway/gateway-auth-report.md,.md,799,documentation,mvp-roadmap,Documentation: Mvp Roadmap,NO,NO,448f2628d847,Active,KEEP,667e6a9de9c654e9e91910ae33ae3dc7d685ce6bf033b78eb08d070753d93627,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/04-gateway/gateway-hardening-report.md,.md,3246,documentation,mvp-roadmap,Documentation: Mvp Roadmap,NO,NO,448f2628d847,Active,KEEP,8aece72cf062d43b9aa6f50ad45e4451356cb5b85f653d0f66db7e842bf51ade,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/04-gateway/integrity/branch-contains.txt,.txt,11,text,mvp-roadmap,Text data for mvp-roadmap,NO,NO,9306450e3b10,Active,KEEP,4f5f79fa0f20016a50d6310f806737ecd5cda73ac8d2eca29aa3f41079b93f51,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/04-gateway/integrity/commit-show-name-only.txt,.txt,2067,text,mvp-roadmap,Text data for mvp-roadmap,NO,NO,9306450e3b10,Active,KEEP,e8d87039b074d0d9e1d8863782461d5f610fa013fa12ff98235cfd9e21752f38,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/04-gateway/integrity/commit-type.txt,.txt,6,text,mvp-roadmap,Text data for mvp-roadmap,NO,NO,9306450e3b10,Active,KEEP,9505cacb7c710ed17125fcc6cb3669e8ddca6c8cd8af6a31f6b3cd64604c3098,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/04-gateway/integrity/git-fsck.txt,.txt,221,text,mvp-roadmap,Text data for mvp-roadmap,NO,NO,9306450e3b10,Active,KEEP,7b65ab6b4d49e5a84dc489d4b018a5c949250bc4183a307cde3a2836ec747917,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/04-gateway/integrity/key-content-grep.txt,.txt,9901,text,mvp-roadmap,Text data for mvp-roadmap,NO,NO,9306450e3b10,Active,KEEP,66a52080a5050a4ae40f8672894ce193e3d14ed68748ce603e595f0083ec2cc1,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/04-gateway/integrity/repository-integrity-report.md,.md,2013,documentation,mvp-roadmap,Documentation: Mvp Roadmap,NO,NO,9306450e3b10,Active,KEEP,664d800b4d6d53359109f71299acabf49c424496433dd4b9a67a283a2d6fb280,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/04-gateway/integrity/stage04-file-line-counts.txt,.txt,369,text,mvp-roadmap,Text data for mvp-roadmap,NO,NO,9306450e3b10,Active,KEEP,5875d0a554d065c4b05f7d95f210f403aa024ac2afd29a7769bfd623a407a4b7,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/04-gateway/integrity/stage04-file-list.txt,.txt,1655,text,mvp-roadmap,Text data for mvp-roadmap,NO,NO,9306450e3b10,Active,KEEP,4d9e2c03cfdad5113514a899086eb2b00a75e51838a6fec07eba37932e7e70d6,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/04-gateway/integrity/stage04-file-sha256.txt,.txt,660,text,mvp-roadmap,Text data for mvp-roadmap,NO,NO,9306450e3b10,Active,KEEP,05853e42bae3cb3534ab4e068e193f2ac462cd8b11396a53132685d4a6c6979a,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/04-gateway/integrity/yaml-parse-check.txt,.txt,144,text,mvp-roadmap,Text data for mvp-roadmap,NO,NO,9306450e3b10,Active,KEEP,343ae16e3c54f5563372a05390919d3493ee1bfa919d264fd623b46c85684abf,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/04-gateway/logs/.gitkeep,(none),0,other,mvp-roadmap,Purpose requires manual classification for mvp-roadmap,NO,NO,aacf95ae0020,Active,KEEP,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/04-gateway/logs/gateway-access.log,.log,813,text,mvp-roadmap,Purpose requires manual classification for mvp-roadmap,NO,NO,448f2628d847,Active,KEEP,dd41cc688f158de63b910e8eeb37ec4f40f63f4da5bb05fc0a5ce59a9b3c0a02,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/04-gateway/logs/gateway-error.log,.log,233,text,mvp-roadmap,Purpose requires manual classification for mvp-roadmap,NO,NO,448f2628d847,Active,KEEP,3df7a3427f6e544df09646b8495c88081521393d29147872c70e11e7a7bb05c7,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff-api/evidence/.gitkeep,(none),0,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,aacf95ae0020,Evidence,KEEP,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff-api/logs/.gitkeep,(none),0,other,mvp-roadmap,Purpose requires manual classification for mvp-roadmap,NO,NO,aacf95ae0020,Active,KEEP,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff/bff-acceptance-report.md,.md,5161,documentation,mvp-roadmap,Documentation: Mvp Roadmap,NO,NO,8219c56f6c32,Active,KEEP,d083e3ff9e120d943d446ee723bea8c282be8cb146b6afba481405585f893c59,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff/bff-inventory-report.md,.md,2664,documentation,mvp-roadmap,Documentation: Mvp Roadmap,NO,NO,8219c56f6c32,Active,KEEP,a89abf1ff1907979f173104a06a0c91f8faaacde76446fcfe9d6a1ae906e9b70,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff/bff-routing-policy.md,.md,2427,documentation,mvp-roadmap,Documentation: Mvp Roadmap,NO,NO,8219c56f6c32,Active,KEEP,ae3c9f213912e73d256d24bfca1781260e8d50df75e25c7b8b4e7872f9064ec3,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff/bff-security-notes.md,.md,1947,documentation,mvp-roadmap,Documentation: Mvp Roadmap,NO,NO,8219c56f6c32,Active,KEEP,206e6ac7f0ba5d8d86ad697df14da994989a236604c84f2a8f0cf3e7c9552c5b,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff/evidence/bff-14b-chat-200.txt,.txt,751,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,0a2340f37383,Evidence,KEEP,0a3a613497b1f7774f092c738f3f6ac72409392c34fdab23801aeecf8618cbca,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff/evidence/bff-14b-chat-auth-status.txt,.txt,593,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,8219c56f6c32,Evidence,KEEP,4bdbc7b9f6b9edb8562b86d4a7ac6d113a53c01a6680576c0d0dbe7028cad8db,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff/evidence/bff-32b-chat-blocked-422.txt,.txt,461,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,8219c56f6c32,Evidence,KEEP,0ec949a84f62d944dce0d7ef23f460aff1612bedcc5ca20db8925e73d7e29257,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff/evidence/bff-32b-chat-blocked.txt,.txt,96,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,2ab4485f9fb7,Evidence,KEEP,18a9765bace625b874939368a310f33fef564911b922b2ee89d266a3d43d9d24,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff/evidence/bff-32b-completion-200.txt,.txt,56,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,2ab4485f9fb7,Evidence,KEEP,0d8cba8d77ea39e0df3e078930285aeb734798c29eaa29e19fdcdd0175d55fac,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff/evidence/bff-32b-completion-no-token-401.txt,.txt,575,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,8219c56f6c32,Evidence,KEEP,737cd705e98d9123e2d7ec2dba5ed74881450f718ecbf1b8d560c2bbec622226,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff/evidence/bff-32b-completion-valid-token-200.txt,.txt,852,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,8219c56f6c32,Evidence,KEEP,9ccfbb785b901248778a38f58e04d402d08f1c4d865fdd471b1b3e4fe11324a3,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff/evidence/bff-config-after.yaml,.yaml,915,evidence,mvp-roadmap,Configuration data for mvp-roadmap,NO,NO,0a2340f37383,Evidence,KEEP,443b9976df99b6b75a8b701c832c24f0f1b3b0cb92084538a6514b5affb5db8b,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff/evidence/bff-deployment-after.yaml,.yaml,1778,evidence,mvp-roadmap,Kubernetes Deployment for mvp-roadmap,NO,NO,0a2340f37383,Evidence,KEEP,06affac215bd039c4073d7e075b3e69a7235c6ea48fa1e058d2fe35adc38a219,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff/evidence/bff-direct-vllm-policy-check.txt,.txt,1264,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,0a2340f37383,Evidence,KEEP,fd64c8a6b901006c92b4a8ddb3559f4d3eb8a4798c5174d20443e071060f808f,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff/evidence/bff-health-200.txt,.txt,240,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,8219c56f6c32,Evidence,KEEP,a8276db37c82f979275d4d1f1ef18858ee7fd14afbf1e43f964d7c7d3217c8ec,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff/evidence/bff-pods-after.txt,.txt,609,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,8219c56f6c32,Evidence,KEEP,bdab848a7d15199e264d350013dd96222b135c23afcbe0d4a2f81d20c3fe5111,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff/evidence/bff-rollout-status.txt,.txt,502,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,8219c56f6c32,Evidence,KEEP,13ecbf2a7050c5b2c954f5f1a61671df7255b536ba9df3f93db13658c75a320e,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff/evidence/bff-route-grep.txt,.txt,1253,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,0a2340f37383,Evidence,KEEP,bf4b4217b678d06a8e931f478b70a66fe0f9daa01d15a601b160583ae25f8308,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff/evidence/bff-service-after.yaml,.yaml,426,evidence,mvp-roadmap,Kubernetes Service for mvp-roadmap,NO,NO,0a2340f37383,Evidence,KEEP,1b23b72baeee976d8d3b4ae3ac617420269a509228293e88aa20421757739df1,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff/evidence/bff-status-code-propagation-check.txt,.txt,824,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,8219c56f6c32,Evidence,KEEP,9eec56fcd4ff86f1045405502e650becf70610eef9c6d576ea8f05df5a461922,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff/evidence/bff-unknown-model-blocked.txt,.txt,395,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,8219c56f6c32,Evidence,KEEP,eacfc78700845ac5bc25dbbc351396db43fe426274ad56769b77c563a38e7ac4,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff/evidence/k8s-bff-resources-before.txt,.txt,3025,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,2ab4485f9fb7,Evidence,KEEP,14f00955946e8269498611df45e46caf0226c16fd8022786d0e1d734ec4f263a,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff/evidence/no-secret-leak-check.txt,.txt,629,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,0a2340f37383,Evidence,KEEP,2bd51c44edb0a8ef43136d2e235cc67de21eab42ceade8b2443e791e53689645,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/05-bff/evidence/repository-bff-search.txt,.txt,56302,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,2ab4485f9fb7,Evidence,KEEP,3673631fc6874a5b043099a95a86d78ec16aedc62c8e8d63a83604738c376668,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/06-rate-limiting/INSTRUCTIONS.md,.md,1490,documentation,mvp-roadmap,Documentation: Mvp Roadmap,NO,NO,c16c0bf46f33,Active,KEEP,e689f20178c69bcb8abd08ba2f898100bc229315f207def8aa7c379663ab4f5b,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/06-rate-limiting/evidence/forbidden-scope-check.txt,.txt,955,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,c16c0bf46f33,Evidence,KEEP,f4c910789c158af2daf3f479f4189a7d495c2f0baa904c9af137e5cdd7cfd7f6,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/06-rate-limiting/evidence/no-secret-leak-check.txt,.txt,564,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,c16c0bf46f33,Evidence,KEEP,c5dc39ddaa2225fb4a40218b054fd7c04f9b192fcb041fcc97c23c31093a480e,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/06-rate-limiting/evidence/rate-limit-exceeded-429.txt,.txt,445,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,c16c0bf46f33,Evidence,KEEP,5c254674b18a33ddae7b2c14309f4e72982889c8b6bfca65ca80746e386b43b5,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/06-rate-limiting/evidence/rate-limit-reset-window.txt,.txt,568,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,c16c0bf46f33,Evidence,KEEP,8f3538d8f9a1453c6832b00d9263ebadc516e6abcb859c68431f8a4386b9b6e1,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/06-rate-limiting/evidence/rate-limit-under-limit.txt,.txt,558,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,c16c0bf46f33,Evidence,KEEP,b0a9f8402e7efb0da666e70626b556bf7312de0d7fa5079113bfd9aca561cd3b,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/06-rate-limiting/evidence/redis-key-safety-check.txt,.txt,561,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,c16c0bf46f33,Evidence,KEEP,eef1008f92482b5173defc1544311bef6bcf51fff4361a62f62fc9abe0a12eb5,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/06-rate-limiting/evidence/redis-manifest-dry-run.txt,.txt,264,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,c16c0bf46f33,Evidence,KEEP,fe9435761bf62b2da6c373ba587299a71b532aa59a6ff9a6a386858273de5b5c,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/06-rate-limiting/evidence/redis-pods-after.txt,.txt,592,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,c16c0bf46f33,Evidence,KEEP,f5a083920fe35268b0278a43bd6056b43a391074dbb3706b0fb5c562673d0a2e,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/06-rate-limiting/evidence/redis-rollout-status.txt,.txt,483,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,c16c0bf46f33,Evidence,KEEP,e6026720754e56dbc38b0b1cd7e629f4c6798125bb1a234ea89d86de6f275269,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/06-rate-limiting/evidence/redis-service-after.yaml,.yaml,490,evidence,mvp-roadmap,Kubernetes Service for mvp-roadmap,NO,NO,c16c0bf46f33,Evidence,KEEP,7e04b3efda0874e712e8abb54012fcd36eee9543d7bd93545b29611f4f7c3238,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/06-rate-limiting/rate-limit-security-notes.md,.md,1645,documentation,mvp-roadmap,Documentation: Mvp Roadmap,NO,NO,c16c0bf46f33,Active,KEEP,0511e6aee76bf2729c3bf264e6ef6f33f322a9b2fcaff2f52ae6208462a8bb6c,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/06-rate-limiting/rate-limit-test-report.md,.md,1468,documentation,mvp-roadmap,Documentation: Mvp Roadmap,NO,NO,c16c0bf46f33,Active,KEEP,4d174bc973510196e6f912f52ea65616f9314ac57530f53b089fa6cd281d669a,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/06-rate-limiting/redis-rate-limiting-report.md,.md,2276,documentation,mvp-roadmap,Documentation: Mvp Roadmap,NO,NO,c16c0bf46f33,Active,KEEP,37278ac1b865b7c3f1f4b1d839f1c5d5198f518b70349d94171dd58e66df772c,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/06-redis-rate-limit/evidence/.gitkeep,(none),0,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,aacf95ae0020,Evidence,KEEP,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/06-redis-rate-limit/logs/.gitkeep,(none),0,other,mvp-roadmap,Purpose requires manual classification for mvp-roadmap,NO,NO,aacf95ae0020,Active,KEEP,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/07-auth-api/32b-chat-adapter-notes.md,.md,1670,documentation,mvp-roadmap,Documentation: Mvp Roadmap,NO,NO,c14167b5667e,Active,KEEP,f5aefd2a0b45c55154dd6f764f9271eecf6590394adee88a96c989ba6fb98088,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/07-auth-api/INSTRUCTIONS.md,.md,1971,documentation,mvp-roadmap,Documentation: Mvp Roadmap,NO,NO,c14167b5667e,Active,KEEP,926d19bdc775eae1d581bf959f0214cdc067cc12fb99d98c3a3e41efa5555acf,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/07-auth-api/agent-integration-guide.md,.md,2317,documentation,mvp-roadmap,Documentation: Mvp Roadmap,NO,NO,c14167b5667e,Active,KEEP,211d20fee2cc54f09d58380e205bd25cc1723097a4d1504f51cb46a4ec51e0eb,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/07-auth-api/api-token-model.md,.md,2053,documentation,mvp-roadmap,Documentation: Mvp Roadmap,NO,NO,c14167b5667e,Active,KEEP,02cf0f0b2e17e1feec1e1415ab63d81b3c752139946877f3b77a94202c74355c,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/07-auth-api/auth-acceptance-report.md,.md,4570,documentation,mvp-roadmap,Documentation: Mvp Roadmap,NO,NO,18a58dbef5e7,Active,KEEP,e01e05b3d0e5fb4fb057d58e2ad279304738edfc6424929303110cb8b89b1c35,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/07-auth-api/auth-architecture.md,.md,2950,documentation,mvp-roadmap,Documentation: Mvp Roadmap,NO,NO,c14167b5667e,Active,KEEP,34e6ed131484d71a8bfedc0519db3d8c6eff9d1b47810179153f64d4fb56e7c8,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/07-auth-api/auth-security-notes.md,.md,3003,documentation,mvp-roadmap,Documentation: Mvp Roadmap,NO,NO,c14167b5667e,Active,KEEP,6391868f20b71e26f54297060f0d2c656bef9a64577d494dfb6e6d2040de6d5a,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/07-auth-api/evidence/agent-14b-chat-valid-token.txt,.txt,868,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,0db08fbea262,Evidence,KEEP,6a2485cea9b669eb2e8b1a4d87876a8cec35c70c9589410d1465b5bf74d4026c,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/07-auth-api/evidence/agent-32b-chat-adapter-valid-token.txt,.txt,1052,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,0db08fbea262,Evidence,KEEP,07b7d38f37b92b5747752a6c00c449173e78bb5db23252a33b8224dd83434c73,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/07-auth-api/evidence/agent-32b-completion-valid-token.txt,.txt,864,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,0db08fbea262,Evidence,KEEP,3857229bede5c8db9f66bf8ee81ff8f287a75e696f953961f580acc918bd6f2f,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/07-auth-api/evidence/agent-models-valid-token-200.txt,.txt,738,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,0db08fbea262,Evidence,KEEP,bfb75bedacab217c6b2298ed4cb60503e0d3f7d03e6c142d22170c9300adcc9b,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/07-auth-api/evidence/agent-wrong-token-401.txt,.txt,545,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,0db08fbea262,Evidence,KEEP,e2a7837e7ed8b1e4e31cbd9c95e7bd693ada30ac697a2ea68e2bf092d2673fe6,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/07-auth-api/evidence/auth-health-no-auth-200.txt,.txt,444,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,0db08fbea262,Evidence,KEEP,c845e0966e34d9d73136c76a521e5a2c40f3dcdb98ebb1252aedde5752a4a0e2,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/07-auth-api/evidence/auth-login-success.txt,.txt,467,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,0db08fbea262,Evidence,KEEP,c9b6554447d54ba3fffce02fcfce9c3f47d9ac16deeb9febba99e329e6b2a046,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/07-auth-api/evidence/auth-models-no-token-401.txt,.txt,365,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,0db08fbea262,Evidence,KEEP,4ce152fa8cacaaeebff894b4be30c5793847532bd89561201f01fe4f9247fe5a,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/07-auth-api/evidence/bff-auth-manifest-dry-run.txt,.txt,678,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,ba0a924ae49c,Evidence,KEEP,2df94be8bbd0fe5f722e8b2eceffe0eed70c3f1f48a771ee74d10304b4e42f13,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/07-auth-api/evidence/bff-auth-secret-redacted.txt,.txt,608,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,ba0a924ae49c,Evidence,KEEP,ed38a3c741e466e0f604587013ebc75709e260779116af6507ec991f3e62ada9,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/07-auth-api/evidence/bff-pods-after-auth.txt,.txt,358,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,0db08fbea262,Evidence,KEEP,322bbe0cdbe148ad922c4675fa1c0cd7d9718d8edb3edde358f8d8da6cb5de81,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/07-auth-api/evidence/bff-rollout-after-auth.txt,.txt,403,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,0db08fbea262,Evidence,KEEP,b761f9267aa4c8f0bb6f2ad4d3035e5bf5b6d573a7728b94d09b15914c135d30,bc3475b84a3d266f992046db125c65ed60506bd0
aither-v2/docs/mvp-roadmap/07-auth-api/evidence/evidence-report.txt,.txt,7758,evidence,mvp-roadmap,Stage evidence: preserves raw or analytical output,NO,NO,c14167b5667e,Evidence,KEEP,7cbdc8404e2eafd7bab04315a2b885e6222331030345f1873df25e51824ee216,bc3475b84a3d266f992046db125c65ed60506bd0
